layer,token_type,kind,n_vectors,ks_statistic,p_value,fit_quality,mean_abs_correlation,max_correlation,off_diagonal_norm
0,text,K,256,0.14853885211996842,0.0,fail,0.9091733142989424,0.9943040125576474,0.9115188969917029
0,text,V,256,0.01079222373646671,0.0009612185205818808,excellent,0.07977639899862358,0.3799393233170731,0.09963639284475721
1,text,K,256,0.147852074232664,0.0,fail,0.8499661266897242,0.9623949062662859,0.8527849651738378
1,text,V,256,0.008888231539599112,0.011218159090920832,excellent,0.0661866292964111,0.3155475723415687,0.08281843697711928
2,text,K,256,0.14279306226440713,0.0,fail,0.8096075908681611,0.9571452668811409,0.8117251336344574
2,text,V,256,0.0076863526846590036,0.04142467247399828,excellent,0.06856745901250616,0.3359214589506637,0.08527328069047901
3,text,K,256,0.10681637782038811,0.0,fail,0.6147263830634183,0.9473568033974599,0.6295503789234389
3,text,V,256,0.006302329411957963,0.14741429210225077,excellent,0.06951972600063007,0.34238080350042993,0.08644255386490514
4,text,K,256,0.03767651820484927,7.505271773134999e-41,good,0.5519966098818684,0.9103780881962948,0.5881222162849044
4,text,V,256,0.007484895909516287,0.05061805936636177,excellent,0.0718981770211327,0.33063648149457525,0.08984148913789439
5,text,K,256,0.04516773592248144,1.5708032639133957e-58,good,0.4728658183998511,0.9730401589821095,0.588627668907454
5,text,V,256,0.004673917352580048,0.4699056503709915,excellent,0.07012656094559935,0.3158026241566222,0.08774134051878088
6,text,K,256,0.041249684833818245,6.951516583028183e-49,good,0.45230445690990084,0.9536649582064446,0.4965110127720179
6,text,V,256,0.0033715173086908135,0.8490763275258949,excellent,0.08126919288467073,0.4371284998178373,0.10133005385850152
7,text,K,256,0.02821852828603466,4.21878455689928e-23,good,0.5128186221601466,0.931226882583301,0.549667602930559
7,text,V,256,0.010161316597713688,0.0022870718529580582,excellent,0.07229679306611354,0.3552557251137025,0.0908277143377844
8,text,K,256,0.021078057706115594,4.452169238308947e-13,good,0.3607938238726579,0.8789841645664781,0.39770411833451724
8,text,V,256,0.008899490502453533,0.011071795777492026,excellent,0.08611608745769278,0.5184724699095206,0.10727790967957794
9,text,K,256,0.018387117342412468,4.704005916750911e-10,excellent,0.3326824816615279,0.9038180527312363,0.393461641898434
9,text,V,256,0.013867366020075766,6.660101060033239e-06,excellent,0.085116262102172,0.3968647403306188,0.10668384191893313
10,text,K,256,0.06525852692030454,9.075542728584989e-122,poor,0.6542550086958409,0.9443346633380456,0.6743821074758588
10,text,V,256,0.004130470189665614,0.6295016790316256,excellent,0.08799212638617021,0.43839456827864376,0.10931306331007906
11,text,K,256,0.007748856868298376,0.03888499428803294,excellent,0.21734443811712606,0.8334610982009741,0.2707031487982876
11,text,V,256,0.013317052320913125,1.7760755769624535e-05,excellent,0.10158093203347865,0.4757839240043629,0.12761197473408414
12,text,K,256,0.056974015561443325,6.759096339898224e-93,poor,0.6550956231292436,0.9450538453864177,0.6636531255639716
12,text,V,256,0.0070720568223641145,0.07506871772411372,excellent,0.10188438795929776,0.42490473174245413,0.12744615942282914
13,text,K,256,0.007486750732124708,0.050525962725564866,excellent,0.20323912520977458,0.865590572831753,0.2546912438130652
13,text,V,256,0.005310310676023389,0.3127524593120191,excellent,0.10350849168334433,0.46118234792812385,0.1296249736269043
14,text,K,256,0.015416005220836526,3.4055502048078603e-07,excellent,0.2466008309247653,0.8866743081742496,0.2961110620003433
14,text,V,256,0.00788173820315241,0.03393341808231065,excellent,0.09898067613825376,0.48430334351544135,0.12257206135502033
15,text,K,256,0.04038007141420663,7.315155554144055e-47,good,0.5692908948037305,0.8981923645139913,0.5882361786587743
15,text,V,256,0.0031725257128794038,0.8953133680538121,excellent,0.08152139632472513,0.37822962797099613,0.10216895616279661
16,text,K,256,0.004881027751193923,0.41451267491696087,excellent,0.21117363336086717,0.8575415816009788,0.26111708569860265
16,text,V,256,0.009984821421407802,0.0028875980786346026,excellent,0.09435723757766316,0.4805184813051611,0.11758346347098617
17,text,K,256,0.028352180544121586,2.5696768955530646e-23,good,0.44257489768506547,0.911749835527113,0.4773141351979885
17,text,V,256,0.014309872083970332,2.940650867060251e-06,excellent,0.0935780472009424,0.4309825708650945,0.11636994319766038
18,text,K,256,0.011979069692395927,0.00016339049982327987,excellent,0.21562105066600573,0.9079395244102911,0.2653363170359419
18,text,V,256,0.00470210539254301,0.4621479157527244,excellent,0.0790005638977006,0.4540410127911773,0.09934029900779462
19,text,K,256,0.00836255736736502,0.020332074283017393,excellent,0.23328688526916436,0.9139764890106442,0.28468611393621307
19,text,V,256,0.003446767185704913,0.8297716946399132,excellent,0.07677749410923206,0.4120720401696379,0.09698176520323991
20,text,K,256,0.01756617674187269,3.2575350716561364e-09,excellent,0.19015752400499283,0.8802306305820327,0.23903114684862256
20,text,V,256,0.007947962189148061,0.031678995263390686,excellent,0.08361964447637817,0.4084981347186376,0.10459349395273965
21,text,K,256,0.01608525083644008,8.548597565549511e-08,excellent,0.32097102813837275,0.9393260297947731,0.36538827510033134
21,text,V,256,0.006196568545472625,0.1607468701059095,excellent,0.08060659931599952,0.3693691916345158,0.10054455883381833
22,text,K,256,0.007832643729177913,0.035694392815370235,excellent,0.23741498210682763,0.8998393596389895,0.2887671423639491
22,text,V,256,0.008108594724921314,0.026749447858721465,excellent,0.07833070656016834,0.40787885664023676,0.09785210327001954
23,text,K,256,0.009211858087303404,0.007640159194342837,excellent,0.23757378344375366,0.902751369933047,0.29178706366523266
23,text,V,256,0.005192563663460603,0.33881960913241527,excellent,0.07379431464890228,0.36044981541355187,0.09221264452356152
24,text,K,256,0.011757839061501296,0.0002305484441710847,excellent,0.23946754571466994,0.9236673864478987,0.29560798596857957
24,text,V,256,0.010305518108856493,0.0018846628060913534,excellent,0.07422782470888106,0.4173693378680522,0.09308597201106547
25,text,K,256,0.009752997376382994,0.0038980003665476004,excellent,0.21642673735380988,0.9413210612861298,0.2788392147973767
25,text,V,256,0.0073543801906646444,0.05747313286015332,excellent,0.06730319004863278,0.3301879301197439,0.08428872936996515
26,text,K,256,0.004130706383204785,0.6294296756629154,excellent,0.212687050459638,0.935958590499213,0.2682875833342716
26,text,V,256,0.012027744409160435,0.0001513395146844154,excellent,0.07558850209581296,0.38451722710266684,0.09510830344584438
27,text,K,256,0.053783790370930284,7.967134039263573e-83,poor,0.6318852734078786,0.89871941145802,0.6429536415265984
27,text,V,256,0.01877799449778106,1.8147959956152405e-10,excellent,0.09914936632349902,0.429293313950652,0.12323874178174321
